문서,문서 URL,출처 번호,출처명,출처 URL
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,16,介護レピ[Répit] | 외국인 개호인력 도도부현별 통계 해설,https://kaigoaruaru.com/care-data/foreign-care-workers-prefecture-data/
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,17,후생노동성 | 개호복지사 국가시험 응시·합격 통계 (PDF),https://www.mhlw.go.jp/content/12004000/001669882.pdf
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,18,후생노동성 | 개호 특정기능 1호 체류기간 연장 안내,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/kaigo.tokuteiginou.extension
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,1,출입국재류관리청 | 미얀마 정세에 따른 긴급피난조치 안내,https://www.moj.go.jp/isa/applications/resources/10_00036.html
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,2,출입국재류관리청 | 재류자격 「특정활동」,https://www.moj.go.jp/isa/applications/status/designatedactivities
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,3,출입국재류관리청 | 재류관리 관련 Q&A,https://www.moj.go.jp/isa/immigration/faq/kanri_qa.html
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,4,출입국재류관리청 | 미얀마 긴급피난조치 안내자료 (PDF · 001349365),https://www.moj.go.jp/isa/content/001349365.pdf
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,5,출입국재류관리청 | 미얀마 긴급피난조치 Q&A (PDF),https://www.moj.go.jp/isa/content/001352920.pdf
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,6,출입국재류관리청 | 미얀마 긴급피난조치 안내자료 (PDF · 001349360),https://www.moj.go.jp/isa/content/001349360.pdf
특정활동 비자와 미얀마인에 대한 긴급피난조치,https://docs.google.com/document/d/1DXR9J4Mygg9xzUftmqV1p3lRa1AsHiGM8XLbONEozbw/edit,7,출입국재류관리청 | 미얀마 긴급피난조치 신청 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001439274.pdf
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,1,e-Stat | 재류외국인 통계 데이터셋,https://www.e-stat.go.jp/stat-search/files?cycle=1&layout=dataset&tclass1=000001060399&tclass2val=0&toukei=00250012&tstat=000001018034
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,2,JASSO | 2025년도 외국인 유학생 재적상황 조사,https://www.jasso.go.jp/about/press/jp2026052901.html
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,3,출입국재류관리청 | 2025년 말 재류외국인 통계 공표,https://www.moj.go.jp/isa/publications/press/13_00062.html
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,4,법무성 | 국적별 유학 재류자격 관련 통계 자료 (PDF),https://www.moj.go.jp/content/001464243.pdf
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,5,출입국재류관리청 | 도도부현별 재류외국인 상세 통계 (PDF),https://www.moj.go.jp/isa/content/001459094.pdf
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,6,후생노동성 | 2025년 10월 말 외국인 고용상황 신고 집계,https://www.mhlw.go.jp/stf/newpage_68794.html
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,7,출입국재류관리청 | 특정기능 관련 공표·통계 안내,https://www.moj.go.jp/isa/applications/ssw/
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,8,トモハタ | 특정기능 재류인원 통계 해설,https://tomohata.jp/guide/tokutei-ginou-toukei
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,9,행정서사 시카마 사무소 | 특정기능 개호 인원 관련 해설,https://gyousei-shikama-office.com/blog228/
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,10,출입국재류관리청 | 특정산업분야 관련 자료,https://www.moj.go.jp/isa/content/001335263
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,11,출입국재류관리청 | 주요 국적·지역별 특정산업분야별 특정기능 1호 인원 (PDF),https://www.moj.go.jp/isa/content/001459471.pdf
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,12,출입국재류관리청 | 특정기능 분야·국적 관련 상세 자료 (PDF),https://www.moj.go.jp/isa/content/001459490.pdf
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,13,출입국재류관리청 | 재류자격 「介護」 관련 제도 안내,https://www.moj.go.jp/isa/laws/h28_kaisei.html
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,14,e-Stat | 재류자격 「介護」 관련 통계표,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0004019020
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,15,外国人人材.com | 재류자격 「介護」 국적별 통계 해설,https://gaikokujinjinzai.com/data/zairyu/kaigo/
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,16,출입국재류관리청 | 특정기능 개호 분야 안내,https://www.moj.go.jp/isa/policies/ssw/nursingcare.html
일본 유학생 및 취업자 동향,https://docs.google.com/document/d/126DWYiWs2AKbVKZXSMGzUj23WMst_z3sdCydrl88nBE/edit,17,후생노동성 | 외국인 개호인력 수용제도 관련 자료 (PDF),https://www.mhlw.go.jp/content/12000000/001592637.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,1,출입국재류관리청 | 재류 관련 신청·제도 안내,https://www.moj.go.jp/isa/applications/
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,2,출입국재류관리청 | 특정기능 공업제품제조업 분야,https://www.moj.go.jp/isa/policies/ssw/manufacturing.html
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,3,출입국재류관리청 | 특정기능 FAQ (영문),https://www.moj.go.jp/isa/policies/ssw/faq.html?hl=en
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,4,경제산업성 | 공업제품제조업 제도 개요 (PDF),https://www.meti.go.jp/policy/mono_info_service/gaikokujinzai/kogyoseihin-seizogyo_gaiyo_2026.4.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,5,출입국재류관리청 | 특정기능 제도 관련 안내자료 (PDF),https://www.moj.go.jp/isa/content/930004944.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,6,출입국재류관리청 | 특정기능 고용·보수 관련 유의사항,https://www.moj.go.jp/isa/policies/ssw/chuui.html
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,7,출입국재류관리청 | 특정기능 통계·제도 공표자료,https://www.moj.go.jp/isa/applications/ssw/
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,8,출입국재류관리청 | 특정기능 분야별 인원 통계 (PDF),https://www.moj.go.jp/isa/content/001459471.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,9,출입국재류관리청 | 특정기능 FAQ,https://www.moj.go.jp/isa/policies/ssw/faq.html
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,10,출입국재류관리청 | 특정기능 재류자격 안내,https://www.moj.go.jp/isa/applications/status/specifiedskilledworker
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,11,출입국재류관리청 | 재류자격별 업무·요건 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001452975.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,12,출입국재류관리청 | 특정기능 이행 준비를 위한 특정활동 안내,https://www.moj.go.jp/isa/policies/ssw/10_00025
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,13,출입국재류관리청 | 특정기능 2호 요건 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001439633.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,14,경제산업성 | 제조업 특정기능 제도 개요·수정본 (PDF),https://www.meti.go.jp/policy/mono_info_service/gaikokujinzai/pdf/kogyoseihin-seizogyo_gaiyo_2026.4r.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,15,출입국재류관리청 | 영주허가 신청 안내,https://www.moj.go.jp/isa/applications/procedures/16-2.html
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,16,출입국재류관리청 | 육성취업 제도 Q&A,https://www.moj.go.jp/isa/applications/faq/ikusei_qa_00002.html
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,17,출입국재류관리청 | 육성취업 단계별 요건 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001454867.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,18,경제산업성 | 제조업 육성취업 협의·연락회 자료 (PDF),https://www.meti.go.jp/policy/mono_info_service/gaikokujinzai/kyogikai/ikusesyuro_kyogi_renrakukai_20260508.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,19,출입국재류관리청 | 특정기능 FAQ (일문),https://www.moj.go.jp/isa/policies/ssw/faq.html?hl=ja
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,20,출입국재류관리청 | 특정기능 1호 지원체계 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001454687.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,21,경제산업성 | 공업제품제조업 육성취업 분야별 자료 (PDF),https://www.meti.go.jp/policy/mono_info_service/gaikokujinzai/kogyoseihin-seizogyo_ikusesyuro_2026.01.pdf
특정 기능 1호 공장 비자란,https://docs.google.com/document/d/124sHuh7Seotr8jK1ZHMLBUJlRPfOSh8Z-IY0PBwEdvc/edit,22,トモハタ | 특정기능 재류인원 통계 해설,https://tomohata.jp/guide/tokutei-ginou-toukei
